	0	0.3	0
	0.05	0.29963	-0.0146978
	0.1	0.29854	-0.0287833
	0.15	0.296762	-0.042246
	0.2	0.294326	-0.0550773
	0.25	0.291265	-0.0672706
	0.3	0.28761	-0.0788209
	0.35	0.283394	-0.0897252
	0.4	0.278648	-0.099982
	0.45	0.273406	-0.109592
	0.5	0.2677	-0.118556
	0.55	0.261561	-0.126879
	0.6	0.255023	-0.134564
	0.65	0.248115	-0.141618
	0.7	0.240871	-0.148049
	0.75	0.233321	-0.153864
	0.8	0.225495	-0.159075
	0.85	0.217423	-0.163692
	0.9	0.209135	-0.167726
	0.95	0.20066	-0.171192
	1	0.192025	-0.174102
	1.05	0.183259	-0.176471
	1.1	0.174387	-0.178315
	1.15	0.165436	-0.17965
	1.2	0.15643	-0.180492
	1.25	0.147395	-0.180859
	1.3	0.138352	-0.180769
	1.35	0.129325	-0.180239
	1.4	0.120335	-0.179289
	1.45	0.111403	-0.177936
	1.5	0.102548	-0.1762
	1.55	0.0937889	-0.174101
	1.6	0.0851435	-0.171658
	1.65	0.0766285	-0.168889
	1.7	0.0682597	-0.165816
	1.75	0.0600517	-0.162457
	1.8	0.0520184	-0.158831
	1.85	0.0441727	-0.154958
	1.9	0.0365264	-0.150858
	1.95	0.0290904	-0.146549
	2	0.0218747	-0.142049
	2.05	0.0148883	-0.137378
	2.1	0.0081394	-0.132554
	2.15	0.00163518	-0.127594
	2.2	-0.00461802	-0.122516
	2.25	-0.0106147	-0.117336
	2.3	-0.0163503	-0.112073
	2.35	-0.0218208	-0.106741
	2.4	-0.0270235	-0.101357
	2.45	-0.0319559	-0.095935
	2.5	-0.0366166	-0.090491
	2.55	-0.0410048	-0.0850387
	2.6	-0.0451206	-0.0795919
	2.65	-0.0489643	-0.0741636
	2.7	-0.0525374	-0.0687665
	2.75	-0.0558417	-0.0634125
	2.8	-0.0588796	-0.058113
	2.85	-0.0616541	-0.052879
	2.9	-0.0641688	-0.0477206
	2.95	-0.0664276	-0.0426476
	3	-0.0684351	-0.037669
	3.05	-0.0701962	-0.0327933
	3.1	-0.0717163	-0.0280284
	3.15	-0.073001	-0.0233817
	3.2	-0.0740565	-0.0188599
	3.25	-0.0748892	-0.0144693
	3.3	-0.0755057	-0.0102153
	3.35	-0.0759131	-0.00610305
	3.4	-0.0761185	-0.00213713
	3.45	-0.0761293	0.00167853
	3.5	-0.0759532	0.00534046
	3.55	-0.0755979	0.00884571
	3.6	-0.0750713	0.0121919
	3.65	-0.0743814	0.0153769
	3.7	-0.0735363	0.0183994
	3.75	-0.0725442	0.0212583
	3.8	-0.0714132	0.023953
	3.85	-0.0701516	0.0264834
	3.9	-0.0687676	0.0288497
	3.95	-0.0672694	0.0310525
	4	-0.065665	0.0330928
	4.05	-0.0639628	0.0349721
	4.1	-0.0621705	0.036692
	4.15	-0.0602962	0.0382545
	4.2	-0.0583476	0.039662
	4.25	-0.0563325	0.0409172
	4.3	-0.0542584	0.0420229
	4.35	-0.0521327	0.0429823
	4.4	-0.0499626	0.0437988
	4.45	-0.0477551	0.0444759
	4.5	-0.0455172	0.0450175
	4.55	-0.0432556	0.0454276
	4.6	-0.0409766	0.0457103
	4.65	-0.0386866	0.0458699
	4.7	-0.0363916	0.0459108
	4.75	-0.0340974	0.0458377
	4.8	-0.0318096	0.0456551
	4.85	-0.0295336	0.0453678
	4.9	-0.0272745	0.0449807
	4.95	-0.0250371	0.0444985
	5	-0.0228262	0.0439262
	5.05	-0.0206459	0.0432686
	5.1	-0.0185006	0.0425309
	5.15	-0.0163941	0.0417179
	5.2	-0.01433	0.0408345
	5.25	-0.0123117	0.0398858
	5.3	-0.0103425	0.0388765
	5.35	-0.00842503	0.0378115
	5.4	-0.00656215	0.0366956
	5.45	-0.00475623	0.0355336
	5.5	-0.00300948	0.0343301
	5.55	-0.00132384	0.0330897
	5.6	0.000298949	0.0318168
	5.65	0.00185737	0.0305159
	5.7	0.00335014	0.0291912
	5.75	0.00477617	0.0278469
	5.8	0.00613458	0.0264872
	5.85	0.00742469	0.0251158
	5.9	0.00864603	0.0237367
	5.95	0.00979829	0.0223535
	6	0.0108814	0.0209697
	6.05	0.0118953	0.0195889
	6.1	0.0128404	0.0182142
	6.15	0.0137169	0.0168487
	6.2	0.0145254	0.0154955
	6.25	0.0152667	0.0141575
	6.3	0.0159415	0.0128372
	6.35	0.0165507	0.0115372
	6.4	0.0170956	0.0102599
	6.45	0.0175772	0.00900753
	6.5	0.0179968	0.00778223
	6.55	0.0183559	0.0065859
	6.6	0.0186559	0.00542034
	6.65	0.0188984	0.00428721
	6.7	0.0190852	0.003188
	6.75	0.0192178	0.00212408
	6.8	0.0192982	0.00109668
	6.85	0.0193281	0.000106871
	6.9	0.0193095	-0.000844388
